Date,AAPL,ADBE,AMD,AMZN,BA,CRM,CSCO,CVX,DIS,GOOGL,IBM,INTC,JPM,KO,META,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PFE,PG,QCOM,T,TMO,TSLA,V,WMT,XOM
2023-02-02,149.2505340576172,392.2300109863281,88.30999755859375,112.91000366210938,209.33999633789062,173.86813354492188,46.71491622924805,155.90394592285156,112.32402801513672,107.473876953125,125.4033432006836,29.111547470092773,132.74502563476562,56.704524993896484,188.20333862304688,98.75407409667969,260.3277587890625,366.8900146484375,21.693220138549805,87.30496978759766,160.0998992919922,40.339080810546875,136.1311798095703,129.75100708007812,18.153667449951172,584.3484497070312,188.27000427246094,226.02377319335938,46.69883346557617,103.93502044677734
2023-02-03,152.8922119140625,379.3299865722656,86.08999633789062,103.38999938964844,206.00999450683594,170.2840576171875,46.061363220214844,156.30987548828125,109.84359741210938,104.52118682861328,125.9090576171875,29.236902236938477,134.79916381835938,56.281219482421875,185.97007751464844,98.25774383544922,254.1786651611328,365.8999938964844,21.08466339111328,87.5394058227539,159.2992706298828,40.084346771240234,136.55247497558594,128.95823669433594,17.7508487701416,585.0352783203125,189.97999572753906,226.58499145507812,46.077789306640625,104.65503692626953
2023-02-06,150.1510467529297,375.2300109863281,83.68000030517578,102.18000030517578,206.80999755859375,168.3028564453125,45.05735397338867,156.485107421875,109.01017761230469,102.64582824707031,125.21024322509766,28.002229690551758,135.59214782714844,56.60104751586914,185.50146484375,99.29814910888672,252.62413024902344,361.4800109863281,21.073671340942383,86.4747085571289,161.8424835205078,39.8114128112793,135.39385986328125,126.96208190917969,17.527063369750977,573.4989013671875,194.75999450683594,225.9055938720703,45.74287796020508,104.47737121582031
2023-02-07,153.04061889648438,383.82000732421875,85.91000366210938,102.11000061035156,214.75999450683594,170.52297973632812,45.31309127807617,160.5900421142578,110.75639343261719,107.3741226196289,124.89765167236328,28.353595733642578,137.24501037597656,56.50698471069336,191.04478454589844,100.87309265136719,263.2399597167969,362.95001220703125,22.156885147094727,85.70304870605469,161.5975799560547,39.6567497253418,134.07249450683594,130.49598693847656,17.231664657592773,580.4467163085938,196.80999755859375,227.75665283203125,45.84041976928711,107.46031951904297
2023-02-08,150.33905029296875,378.3599853515625,84.69000244140625,100.05000305175781,213.5,168.88027954101562,44.47957229614258,156.8172149658203,110.90522003173828,99.12455749511719,125.02637481689453,27.56301498413086,136.28005981445312,56.1777458190918,182.87936401367188,101.78943634033203,262.42333984375,366.8299865722656,22.188858032226562,84.67741394042969,161.22079467773438,40.011558532714844,132.68408203125,126.2362060546875,17.151098251342773,576.5447998046875,201.2899932861328,226.6538848876953,45.59330749511719,106.52522277832031
2023-02-09,149.2999725341797,375.80999755859375,83.20999908447266,98.23999786376953,211.99000549316406,172.89248657226562,44.261722564697266,155.37818908691406,109.496337890625,94.77532196044922,124.4865493774414,27.06523895263672,134.15904235839844,56.08367156982422,177.38592529296875,101.86579895019531,259.3635559082031,362.5,22.32076644897461,84.63835906982422,162.74673461914062,39.4293098449707,131.2286376953125,124.66983032226562,16.981019973754883,566.2926635742188,207.32000732421875,226.25927734375,46.01601028442383,106.92730712890625
2023-02-10,149.6667022705078,370.989990234375,81.4800033569336,97.61000061035156,212.88999938964844,166.29177856445312,44.76372528076172,158.63442993164062,107.2143325805664,94.3364028930664,126.20841979980469,27.133562088012695,134.75137329101562,56.08367156982422,173.62722778320312,103.63165283203125,258.85198974609375,347.3599853515625,21.249540328979492,85.11697387695312,165.96812438964844,39.92058563232422,132.3872528076172,123.198974609375,17.07053565979004,568.7610473632812,196.88999938964844,224.13824462890625,46.731353759765625,111.43443298339844
2023-02-13,152.48143005371094,375.0,83.12999725341797,99.54000091552734,215.64999389648438,170.32388305664062,45.332035064697266,157.7489013671875,106.81747436523438,94.37631225585938,127.83722686767578,27.865581512451172,136.2132110595703,57.005550384521484,178.89137268066406,104.56707763671875,266.939208984375,358.57000732421875,21.77216148376465,87.34403991699219,167.44696044921875,40.02066421508789,134.120361328125,124.96591186523438,17.240612030029297,572.33447265625,194.63999938964844,225.79562377929688,47.44343948364258,111.00096893310547
2023-02-14,151.8372039794922,377.8999938964844,85.94999694824219,99.69999694824219,218.4499969482422,169.20883178710938,45.18048858642578,158.9573211669922,106.81747436523438,94.44613647460938,126.59000396728516,27.95342445373535,136.81507873535156,56.05545425415039,178.94122314453125,103.79391479492188,267.7755126953125,359.9599914550781,22.954303741455078,87.02169799804688,165.5631103515625,39.775028228759766,133.3639373779297,126.39857482910156,17.14214515686035,568.830810546875,209.25,226.29872131347656,47.30687713623047,109.70062255859375
2023-02-15,153.94827270507812,375.94000244140625,85.18000030517578,101.16000366210938,217.44000244140625,170.3437957763672,45.890872955322266,157.28219604492188,108.38510131835938,96.70055389404297,126.9530029296875,28.15839195251465,137.38833618164062,56.05545425415039,176.62818908691406,102.7821273803711,265.6352233886719,361.4200134277344,22.747451782226562,86.28911590576172,165.78915405273438,39.41111373901367,133.05751037597656,127.0958023071289,17.231664657592773,564.2023315429688,214.24000549316406,225.83506774902344,47.65804672241211,109.37083435058594
2023-02-16,152.34266662597656,365.1600036621094,80.08000183105469,98.1500015258789,212.2100067138672,167.36700439453125,48.29671096801758,155.0115203857422,105.00179290771484,95.27408599853516,125.64998626708984,27.523975372314453,135.49661254882812,55.7073974609375,171.92236328125,101.66534423828125,258.5632629394531,350.7099914550781,21.986007690429688,85.68351745605469,165.31820678710938,39.07450866699219,131.31480407714844,124.31643676757812,17.240612030029297,554.9951782226562,202.0399932861328,222.78672790527344,46.910186767578125,109.05045318603516
2023-02-17,151.1929931640625,356.8500061035156,78.5,97.19999694824219,211.66000366210938,164.44000244140625,48.08832931518555,151.54966735839844,104.39656066894531,94.11695098876953,125.66858673095703,26.948116302490234,135.8979034423828,56.554019927978516,172.3610382080078,104.53843688964844,254.5292510986328,347.9599914550781,21.372453689575195,85.25373077392578,166.04348754882812,39.3110466003418,134.0629119873047,121.9859848022461,17.40174102783203,557.1053466796875,208.30999755859375,220.54730224609375,47.61577224731445,104.85729217529297
2023-02-21,147.1591796875,346.70001220703125,76.7699966430664,94.58000183105469,205.52000427246094,160.90567016601562,47.065372467041016,149.8280029296875,101.29104614257812,91.56327819824219,122.58782958984375,25.435274124145508,133.40426635742188,56.25299835205078,171.5634307861328,104.10890197753906,249.21299743652344,337.5,20.63998794555664,84.19879913330078,165.94927978515625,38.84706497192383,133.96717834472656,118.14646911621094,17.19585418701172,548.2167358398438,197.3699951171875,217.6469268798828,47.9051628112793,104.7536392211914
2023-02-22,147.58535766601562,348.7200012207031,76.61000061035156,95.79000091552734,205.75999450683594,162.63800048828125,46.7054443359375,149.22314453125,100.88426208496094,91.42362213134766,121.89908599853516,24.859420776367188,132.3819580078125,56.42231750488281,170.6063232421875,104.19482421875,248.06887817382812,334.8800048828125,20.738916397094727,84.3160171508789,165.89276123046875,38.555938720703125,134.53208923339844,118.3852310180664,17.348031997680664,545.8577270507812,200.86000061035156,217.05502319335938,46.90043258666992,103.3967514038086
2023-02-23,148.07101440429688,347.0199890136719,79.75,95.81999969482422,208.1300048828125,163.39462280273438,46.61072540283203,150.69349670410156,100.93386840820312,90.66549682617188,121.7315444946289,24.996063232421875,133.44248962402344,56.525794982910156,171.5235595703125,105.55976867675781,251.28427124023438,323.6499938964844,23.646799087524414,86.52355194091797,166.07174682617188,38.483154296875,134.10121154785156,120.53421783447266,17.321178436279297,548.3958740234375,202.07000732421875,218.15003967285156,46.20134735107422,104.34844970703125
2023-02-24,145.40493774414062,320.5400085449219,78.08999633789062,93.5,198.14999389648438,161.4831085205078,45.919288635253906,151.1401824951172,99.51506042480469,88.90984344482422,121.52680206298828,24.537330627441406,134.6462860107422,56.29063034057617,169.87852478027344,104.89161682128906,245.81021118164062,317.1499938964844,23.269075393676758,86.6016845703125,165.74209594726562,37.98278045654297,133.34478759765625,118.75772094726562,17.22270965576172,540.273681640625,196.8800048828125,216.59136962890625,46.32490921020508,104.3578872680664
2023-02-27,146.6041717529297,322.32000732421875,78.7699966430664,93.76000213623047,200.4600067138672,162.41896057128906,46.15608215332031,151.52174377441406,99.66387939453125,89.64801788330078,121.45233917236328,24.303083419799805,135.82144165039062,56.27180480957031,169.0310516357422,104.3857192993164,246.73733520507812,323.0299987792969,23.483915328979492,85.91793823242188,165.69497680664062,37.10030746459961,133.2298583984375,117.8790283203125,17.034727096557617,538.8403930664062,207.6300048828125,217.3805694580078,45.989994049072266,104.16942596435547
